Duration (Seconds),CPU_Usage,Memory_Usage,Disk_Usage
512,29.2,18.9,0.0
513,27.375,18.9,0.0
514,29.6,18.9,0.0
515,27.1,18.8,0.0
516,34.975,18.9,0.0
517,37.15,19.0,0.0
518,29.125,18.9,0.0
519,27.625,19.0,0.0
520,29.1,19.0,0.0
521,27.525,18.8,0.0
522,27.45,18.8,0.0
523,28.0,18.8,0.0
524,28.85,18.8,0.0
525,27.6,18.9,0.0
526,29.125000000000004,19.0,0.0
527,28.05,18.8,0.0
528,29.05,18.8,0.0
529,28.125,18.8,0.0
530,28.3,18.9,0.0
531,28.275,19.0,0.0
532,29.15,18.9,0.0
533,27.65,18.9,0.0
534,28.725,18.9,0.0
535,27.4,18.8,0.0
536,29.35,18.8,0.0
537,27.450000000000003,18.9,0.0
538,28.15,19.0,0.0
539,27.8,18.9,0.0
540,28.175,19.0,0.0
541,27.775,18.8,0.0
542,28.325,19.0,0.0
543,27.775,18.9,0.0
544,29.225,19.0,0.0
545,28.700000000000003,18.9,0.0
546,29.775,19.0,0.0
547,37.6,18.8,0.0
548,17.25,18.8,0.0
549,28.075,19.0,0.0
550,28.575000000000003,19.0,0.0
551,27.9,18.9,0.0
552,28.85,18.9,0.0
553,27.9,18.9,0.0
554,28.55,18.9,0.0
555,27.8,19.0,0.0
556,30.225,18.9,0.0
557,27.725,18.9,0.0
558,29.075,18.9,0.0
559,27.95,18.9,0.0
560,29.425,19.0,0.0
561,28.125,18.8,0.0
562,28.7,18.9,0.0
563,27.95,18.9,0.0
564,29.325,19.0,0.0
565,28.175,18.9,0.0
566,30.525,18.9,0.0
567,27.875000000000004,19.0,0.0
568,29.0,19.0,0.0
569,28.9,18.8,0.0
570,28.025,18.8,0.0
571,27.725,18.8,0.0
572,28.2,19.0,0.0
573,27.4,18.9,0.0
574,29.375,19.0,0.0
575,29.375,19.0,0.0
576,33.175000000000004,18.8,0.0
577,57.05,19.1,0.0
578,29.85,19.2,0.0
579,27.225,19.1,0.0
580,29.0,18.9,0.0
581,28.9,19.0,0.0
582,27.95,18.8,0.0
583,27.675,18.8,0.0
584,29.2,18.8,0.0
585,28.325,19.0,0.0
586,29.65,18.9,0.0
587,26.875,19.0,0.0
588,28.525,18.8,0.0
589,27.725,18.9,0.0
590,30.125,18.8,0.0
591,27.9,19.0,0.0
592,29.425,18.9,0.0
593,28.125,19.0,0.0
594,28.175,19.0,0.0
595,29.25,18.8,0.0
596,28.075,18.9,0.0
597,27.7,18.9,0.0
598,28.85,18.9,0.0
599,27.8,19.1,0.0
600,30.2,19.0,0.0
601,86.575,19.4,0.0
602,73.4,19.9,0.0
603,35.5,19.9,0.0
604,33.599999999999994,20.0,0.0
605,54.275,19.9,0.0
606,33.4,19.9,0.0
607,68.6,20.2,0.0
608,67.0,20.1,0.0
609,53.325,20.2,0.0
610,51.075,20.2,0.0
611,49.125,20.0,0.0
612,61.3,20.2,0.0
613,46.125,20.3,0.0
614,82.4,20.1,0.0
615,66.675,20.5,0.0
616,71.975,20.2,0.0
617,83.675,20.9,0.0
618,99.5,21.6,0.0
619,97.2,22.1,0.0
620,99.25,22.6,0.0
621,63.025000000000006,22.2,0.0
622,34.5,22.4,0.0
623,44.875,22.4,0.0
624,34.325,22.2,0.0
625,41.05,22.1,0.0
626,41.55,22.3,0.0
627,53.475,22.0,0.0
628,71.875,20.5,0.0
629,60.975,20.9,0.0
630,99.0,20.8,0.0
631,93.75,21.5,0.0
632,99.75,22.2,0.0
633,82.45,22.4,0.0
634,83.80000000000001,22.3,0.0
635,63.075,21.7,0.0
636,59.35,21.7,0.0
637,63.675,21.8,0.0
638,95.2,21.8,0.0
639,72.4,21.7,0.0
640,74.80000000000001,21.9,0.0
641,73.775,22.0,0.0
642,84.69999999999999,21.7,0.0
643,46.35,21.2,0.0
644,65.45,21.7,0.0
645,85.575,21.8,0.0
646,43.7,21.3,0.0
647,57.875,21.2,0.0
648,43.575,20.8,0.0
649,43.7,20.8,0.0
650,39.025,20.7,0.0
651,37.75,20.6,0.0
652,31.0,20.8,0.0
653,57.14999999999999,20.1,0.0
654,84.85,21.0,0.0
655,99.0,22.0,0.0
656,100.0,22.2,0.0
657,100.0,22.4,0.0
658,96.475,22.4,0.0
659,69.1,22.4,0.0
660,48.575,22.2,0.0
661,58.075,22.2,0.0
662,48.0,22.1,0.0
663,53.375,22.4,0.0
664,76.3,22.5,0.0
665,75.1,22.9,0.0
666,62.825,23.0,0.0
667,75.4,23.0,0.0
668,92.15,22.5,0.0
669,99.0,22.8,0.0
