Duration (Seconds),CPU_Usage,Memory_Usage,Disk_Usage
630,56.525,19.5,0.19999999999998863
631,59.4,19.5,0.19999999999998863
632,57.275,19.5,0.19999999999998863
633,57.775000000000006,19.8,0.19999999999998863
634,32.27499999999999,19.3,0.19999999999998863
635,22.975,19.3,0.19999999999998863
636,34.1,19.3,0.19999999999998863
637,25.925,19.3,0.19999999999998863
638,32.4,19.3,0.19999999999998863
639,22.425,19.2,0.29999999999999716
640,25.725,19.2,0.29999999999999716
641,37.175,19.3,0.29999999999999716
642,16.85,19.3,0.29999999999999716
643,37.55,19.3,0.29999999999999716
644,52.05,19.4,0.29999999999999716
645,57.675,19.4,0.29999999999999716
646,56.05,19.4,0.29999999999999716
647,57.650000000000006,19.3,0.19999999999998863
648,56.2,19.3,0.19999999999998863
649,57.0,19.3,0.19999999999998863
650,43.875,19.3,0.09999999999999432
651,21.125,19.3,0.09999999999999432
652,8.25,19.3,0.09999999999999432
653,14.35,19.3,0.09999999999999432
654,11.05,19.3,0.09999999999999432
655,15.575,19.3,0.09999999999999432
656,10.575,19.3,0.09999999999999432
657,15.425,19.3,0.09999999999999432
658,10.325,19.3,0.09999999999999432
659,20.425,19.3,0.09999999999999432
660,34.45,19.3,0.09999999999999432
661,60.925,19.3,0.09999999999999432
662,56.925,19.4,0.09999999999999432
663,58.55,19.4,0.09999999999999432
664,57.425,19.5,0.09999999999999432
665,57.75,19.2,0.09999999999999432
666,15.75,19.2,0.09999999999999432
667,18.475,19.2,0.09999999999999432
668,24.5,19.2,0.19999999999998863
669,16.725,19.2,0.19999999999998863
670,16.625,19.2,0.19999999999998863
671,34.125,19.2,0.19999999999998863
672,22.325,19.3,0.19999999999998863
673,17.799999999999997,19.2,0.19999999999998863
674,14.675,19.2,0.19999999999998863
675,16.875,19.2,0.19999999999998863
676,54.7,19.2,0.09999999999999432
677,58.025,19.3,0.09999999999999432
678,57.05,19.3,0.09999999999999432
679,57.3,19.3,0.09999999999999432
680,43.225,19.2,0.09999999999999432
681,15.1,19.2,0.09999999999999432
682,25.775,19.2,0.09999999999999432
683,23.3,19.2,0.09999999999999432
684,14.0,19.2,0.09999999999999432
685,29.55,19.2,0.19999999999998863
686,18.15,19.2,0.19999999999998863
687,12.9,19.2,0.19999999999998863
688,21.175,19.2,0.19999999999998863
689,10.7,19.2,0.19999999999998863
690,21.625,19.2,0.19999999999998863
691,55.9,19.3,0.19999999999998863
692,57.1,19.3,0.19999999999998863
693,56.925,19.4,0.19999999999998863
694,55.1,19.5,0.19999999999998863
695,57.35,19.5,0.19999999999998863
696,26.05,19.5,0.19999999999998863
697,15.175,19.5,0.19999999999998863
698,11.55,19.5,0.19999999999998863
699,12.5,19.5,0.19999999999998863
700,19.575,19.4,0.19999999999998863
701,11.9,19.4,0.19999999999998863
702,13.999999999999998,19.4,0.19999999999998863
703,12.675,19.4,0.19999999999998863
704,13.75,19.4,0.19999999999998863
705,10.825,19.4,0.19999999999998863
706,47.425,19.4,0.19999999999998863
707,57.7,19.4,0.19999999999998863
708,55.775,19.4,0.19999999999998863
709,57.05,19.5,0.19999999999998863
710,56.8,19.5,0.19999999999998863
711,22.825,19.5,0.19999999999998863
712,14.2,19.4,0.19999999999998863
713,12.35,19.4,0.19999999999998863
714,13.075,19.4,0.19999999999998863
715,13.575,19.4,0.19999999999998863
716,17.825000000000003,19.4,0.19999999999998863
717,14.3,19.4,0.19999999999998863
718,11.825,19.4,0.19999999999998863
719,13.25,19.4,0.19999999999998863
720,13.6,19.4,0.19999999999998863
721,33.05,19.4,0.19999999999998863
722,57.1,19.4,0.19999999999998863
723,57.7,19.4,0.19999999999998863
724,55.675,19.5,0.19999999999998863
725,34.675,19.4,0.19999999999998863
726,23.375,19.4,0.19999999999998863
727,14.95,19.4,0.19999999999998863
728,12.7,19.4,0.19999999999998863
729,12.95,19.4,0.19999999999998863
730,13.125,19.4,0.19999999999998863
731,14.575,19.4,0.19999999999998863
732,13.275,19.4,0.19999999999998863
733,9.3,19.4,0.19999999999998863
734,11.875,19.4,0.19999999999998863
735,15.275,19.4,0.19999999999998863
736,50.625,19.4,0.19999999999998863
737,57.325,19.4,0.19999999999998863
738,55.15,19.6,0.19999999999998863
739,56.525000000000006,19.7,0.19999999999998863
740,56.8,19.7,0.19999999999998863
741,57.225,19.8,0.19999999999998863
742,55.575,19.8,0.19999999999998863
743,54.2,19.9,0.19999999999998863
744,32.775,19.9,0.19999999999998863
745,31.85,19.8,0.19999999999998863
746,31.200000000000003,19.8,0.19999999999998863
747,29.65,19.8,0.19999999999998863
748,32.25,19.9,0.19999999999998863
749,34.375,19.8,0.19999999999998863
750,33.075,19.9,0.19999999999998863
751,30.4,19.9,0.19999999999998863
752,34.475,19.9,0.19999999999998863
753,32.65,19.9,0.19999999999998863
754,40.55,19.4,0.19999999999998863
755,58.125,19.4,0.19999999999998863
756,56.125,19.3,0.19999999999998863
757,58.425,19.3,0.19999999999998863
758,56.925,19.3,0.19999999999998863
759,44.25,19.3,0.19999999999998863
760,15.599999999999998,19.3,0.09999999999999432
761,13.275,19.3,0.09999999999999432
762,16.125,19.3,0.09999999999999432
763,10.749999999999998,19.3,0.09999999999999432
764,10.675,19.3,0.09999999999999432
765,8.5,19.3,0.09999999999999432
766,33.1,19.3,0.09999999999999432
767,18.75,19.3,0.09999999999999432
768,13.425,19.3,0.09999999999999432
769,43.775,19.2,0.19999999999998863
770,57.150000000000006,19.2,0.19999999999998863
771,59.25,19.4,0.19999999999998863
772,56.925,19.3,0.19999999999998863
773,57.925,19.3,0.19999999999998863
774,48.425,19.3,0.19999999999998863
